Spec,Layer,Loading_time,Latency_with_cache
A10G,llama-2-7b-chat-slice/tok_embeddings,144.695,0.095
A10G,llama-2-7b-chat-slice/layers,220.949,1.02
A10G,llama-2-7b-chat-slice/norm,0.543,0.124
A10G,llama-2-7b-chat-slice/output,152.412,0.648
A10G,llama-2-70b-chat-slice/tok_embeddings,279.545,0.098
A10G,llama-2-70b-chat-slice/layers,864.465,3.748
A10G,llama-2-70b-chat-slice/norm,0.534941,0.134
A10G,llama-2-70b-chat-slice/output,277.843,1.159
A100,llama-2-7b-chat-slice/tok_embeddings,164.065,0.074
A100,llama-2-7b-chat-slice/layers,265.658,0.675
A100,llama-2-7b-chat-slice/norm,0.936,0.113
A100,llama-2-7b-chat-slice/output,166.615,0.203
A100,llama-2-70b-chat-slice/tok_embeddings,330.723,0.074
A100,llama-2-70b-chat-slice/layers,749.449,1.211
A100,llama-2-70b-chat-slice/norm,0.942,0.124
A100,llama-2-70b-chat-slice/output,188.085,0.347
3090,llama-2-7b-chat-slice/tok_embeddings,386.668,0.05
3090,llama-2-7b-chat-slice/layers,251.05,0.692
3090,llama-2-7b-chat-slice/norm,0.604,0.294
3090,llama-2-7b-chat-slice/output,174.748,0.381
3090,llama-2-70b-chat-slice/tok_embeddings,544.209,0.062
3090,llama-2-70b-chat-slice/layers,965.743,2.177
3090,llama-2-70b-chat-slice/norm,0.592,0.116
3090,llama-2-70b-chat-slice/output,311.213,0.669
